,french,english
0,je,I
1,de,of
2,est,East
3,pas,not
4,le,THE
5,vous,YOU
6,la,there
7,tu,you
8,que,that
9,un,A
10,il,he
11,et,And
12,à,has
13,a,has
14,ne,born
15,les,THE
16,ce,This
17,en,in
18,on,we
19,ça,That
20,une,a
21,ai,have
22,pour,For
23,des,of the
24,moi,Me
25,qui,Who
26,nous,We
27,y,y
28,mais,but
29,me,me
30,dans,In
31,du,of
32,bien,GOOD
33,elle,She
34,si,if
35,tout,All
36,plus,more
37,non,No
38,mon,My
39,suis,am
40,te,you
41,au,At
42,avec,with
43,va,go
44,oui,Yes
45,toi,You
46,fait,do
47,ils,they
48,as,ace
49,être,be
50,faire,TO DO
51,se,se
52,comme,as
53,était,was
54,sur,on
55,quoi,What
56,ici,here
57,sais,know
58,lui,him
59,veux,want
60,ma,my
61,là,there
62,rien,Nothing
63,dit,said
64,es,are
65,où,Or
66,votre,your
67,pourquoi,Why
68,sont,are
69,cette,this
70,quand,When
71,par,by
72,son,her
73,ton,your
74,peux,can
75,vais,go
76,dire,say
77,alors,SO
78,comment,how
79,avez,have
80,bon,Good
81,ou,Or
82,très,very
83,merci,THANKS
84,ont,have
85,même,even
86,jamais,Never
87,aussi,Also
88,voir,see
89,chose,thing
90,allez,Go on
91,tous,all
92,deux,two
93,ces,these
94,faut,must
95,sa,her
96,êtes,are
97,été,summer
98,ta,your
99,fais,do 
100,avoir,to have
101,peut,can
102,autre,other
103,m,m
104,encore,Again
105,maintenant,NOW
106,peu,little
107,mes,my
108,vraiment,Really
109,temps,time
110,notre,OUR
111,toujours,always
112,vie,life
113,sans,without
114,juste,just
115,oh,Oh
116,avait,had
117,accord,agreement
118,vu,seen
119,monde,world
120,quelque,some
121,fois,times
122,aller,go
123,trop,too much
124,viens,come
125,crois,believe
126,dieu,God
127,dois,have to
128,homme,man
129,père,father
130,sûr,on
131,aux,to
132,leur,their
133,avant,Before
134,étais,was
135,besoin,need
136,femme,women
137,aime,love
138,personne,person
139,avais,had
140,chez,at the house of
141,vrai,TRUE
142,ans,years
143,mal,wrong
144,ses,his
145,parler,talk
146,vos,your
147,après,After
148,mort,dead
149,veut,wanna
150,eu,had
151,sera,will be
152,bonne,Good
153,parce,because
154,mieux,better
155,petit,little
156,voilà,There
157,tes,your 
158,ca,That
159,dis,say
160,beaucoup,a lot
161,depuis,Since
162,doit,must
163,vois,see 
164,mère,mother
165,vas,go
166,monsieur,Sir
167,quel,what
168,déjà,Already
169,fille,girl
